,Method,Test,IsFlaky,project
7,29,info.archinnov.achilles.junit.AchillesTestResourceTest#should_trigger_only_after_when_steps_is_after,0,graphs/Achilles/1
0,686,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT2#should_refresh,0,graphs/Achilles/2
1,711,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT2#should_update_entity_having_compound_id_with_enum,0,graphs/Achilles/2
2,668,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT2#should_remove,0,graphs/Achilles/2
3,713,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT2#should_remove_entity_having_compound_id_with_enum,0,graphs/Achilles/2
4,615,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT2#should_persist_and_find,0,graphs/Achilles/2
5,626,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT2#should_merge,0,graphs/Achilles/2
6,706,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT2#should_persist_and_find_entity_having_compound_id_with_enum,0,graphs/Achilles/2
7,718,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT2#should_refresh_entity_having_compound_id_with_enum,0,graphs/Achilles/2
8,463,info.archinnov.achilles.test.integration.tests.BeanValidationIT#should_validate_entity_constrained_on_property,0,graphs/Achilles/2
9,695,info.archinnov.achilles.test.integration.tests.BeanValidationIT#should_use_custom_bean_validator_interceptor,0,graphs/Achilles/2
10,522,info.archinnov.achilles.test.integration.tests.BeanValidationIT#should_error_on_invalid_field_update,0,graphs/Achilles/2
11,501,info.archinnov.achilles.test.integration.tests.BeanValidationIT#should_error_on_invalid_field_persist,0,graphs/Achilles/2
12,655,info.archinnov.achilles.test.integration.tests.BeanValidationIT#should_error_on_invalid_class_update,0,graphs/Achilles/2
13,447,info.archinnov.achilles.test.integration.tests.BeanValidationIT#should_validate_entity_constrained_on_field,0,graphs/Achilles/2
14,625,info.archinnov.achilles.test.integration.tests.BeanValidationIT#should_error_on_invalid_class_persist,0,graphs/Achilles/2
15,492,info.archinnov.achilles.test.integration.tests.BeanValidationIT#should_validate_entity_constrained_on_class,0,graphs/Achilles/2
16,591,info.archinnov.achilles.test.integration.tests.BeanValidationIT#should_error_on_invalid_property_update,0,graphs/Achilles/2
17,560,info.archinnov.achilles.test.integration.tests.BeanValidationIT#should_error_on_invalid_property_persist,0,graphs/Achilles/2
18,660,info.archinnov.achilles.test.integration.tests.ConsistencyLevelIT#should_throw_exception_when_loading_entity_with_three_consistency,0,graphs/Achilles/2
19,682,info.archinnov.achilles.test.integration.tests.ConsistencyLevelIT#should_recover_from_exception_and_reinit_consistency_level,0,graphs/Achilles/2
20,750,info.archinnov.achilles.test.integration.tests.ConsistencyLevelIT#should_reinit_consistency_level_after_exception,0,graphs/Achilles/2
21,731,info.archinnov.achilles.test.integration.tests.ConsistencyLevelIT#should_refresh_with_runtime_consistency_level_overriding_predefined_one,0,graphs/Achilles/2
22,743,info.archinnov.achilles.test.integration.tests.ConsistencyLevelIT#should_remove_with_runtime_consistency_level_overriding_predefined_one,0,graphs/Achilles/2
23,754,info.archinnov.achilles.test.integration.tests.ConsistencyLevelIT#should_override_consistency_by_map,0,graphs/Achilles/2
24,657,info.archinnov.achilles.test.integration.tests.ConsistencyLevelIT#should_throw_exception_when_persisting_with_two_consistency,0,graphs/Achilles/2
25,701,info.archinnov.achilles.test.integration.tests.ConsistencyLevelIT#should_persist_with_runtime_consistency_level_overriding_predefined_one,0,graphs/Achilles/2
26,704,info.archinnov.achilles.test.integration.tests.ConsistencyLevelIT#should_update_with_runtime_consistency_level_overriding_predefined_one,0,graphs/Achilles/2
27,715,info.archinnov.achilles.test.integration.tests.ConsistencyLevelIT#should_find_with_runtime_consistency_level_overriding_predefined_one,0,graphs/Achilles/2
28,652,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithObjectPropertyIT#should_merge_modifications,0,graphs/Achilles/2
29,642,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithObjectPropertyIT#should_persist_and_get_proxy,0,graphs/Achilles/2
30,687,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithObjectPropertyIT#should_remove,0,graphs/Achilles/2
31,700,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithObjectPropertyIT#should_refresh,0,graphs/Achilles/2
32,756,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithObjectPropertyIT#should_remove_with_default_params,0,graphs/Achilles/2
33,735,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithObjectPropertyIT#should_iterate_with_default_params,0,graphs/Achilles/2
34,617,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithObjectPropertyIT#should_persist_and_find,0,graphs/Achilles/2
35,708,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithObjectPropertyIT#should_query_with_default_params,0,graphs/Achilles/2
36,494,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_update_with_ttl,1,graphs/Achilles/2
37,791,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_remove_with_default_params,0,graphs/Achilles/2
38,474,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_persist_and_get_proxy,0,graphs/Achilles/2
39,793,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_exception_when_remove_with_varying_components,0,graphs/Achilles/2
40,794,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_exception_when_remove_with_limit,0,graphs/Achilles/2
41,784,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_check_for_common_operation_on_found_clustered_entity_by_iterator,0,graphs/Achilles/2
42,764,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_query_with_getLast,0,graphs/Achilles/2
43,786,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_iterate_with_custom_params,0,graphs/Achilles/2
44,545,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_remove_by_id,0,graphs/Achilles/2
45,403,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_persist_and_find,0,graphs/Achilles/2
46,425,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_persist_with_ttl,1,graphs/Achilles/2
47,568,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_refresh,0,graphs/Achilles/2
48,778,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_iterate_with_default_params,0,graphs/Achilles/2
49,789,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_iterate_over_clusterings_components,0,graphs/Achilles/2
50,724,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_query_with_custom_params,0,graphs/Achilles/2
51,747,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_query_with_getFirst,0,graphs/Achilles/2
52,506,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_update_modifications,0,graphs/Achilles/2
53,605,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_query_with_default_params,0,graphs/Achilles/2
54,518,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_remove,0,graphs/Achilles/2
55,716,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_check_for_common_operation_on_found_clustered_entity,0,graphs/Achilles/2
56,738,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_query_with_consistency_level,0,graphs/Achilles/2
57,530,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithEnumCompoundKeyIT#should_persist_and_get_reference,0,graphs/Achilles/2
58,598,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithEnumCompoundKeyIT#should_update_modifications,0,graphs/Achilles/2
59,577,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithEnumCompoundKeyIT#should_persist_and_find,0,graphs/Achilles/2
60,616,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithEnumCompoundKeyIT#should_remove,0,graphs/Achilles/2
61,628,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithEnumCompoundKeyIT#should_refresh,0,graphs/Achilles/2
62,405,info.archinnov.achilles.test.integration.tests.SupportedTypesIT#should_persist_and_find_all_types,0,graphs/Achilles/2
63,554,info.archinnov.achilles.test.integration.tests.ConsistencyLevelPriorityOrderingIT#should_override_mapping_on_class_by_mapping_on_field_for_counter_type,0,graphs/Achilles/2
64,536,info.archinnov.achilles.test.integration.tests.ConsistencyLevelPriorityOrderingIT#should_not_override_batch_mode_level_by_runtime_value_for_normal_type,0,graphs/Achilles/2
65,602,info.archinnov.achilles.test.integration.tests.ConsistencyLevelPriorityOrderingIT#should_override_mapping_on_field_by_batch_value_for_counter_type,0,graphs/Achilles/2
66,507,info.archinnov.achilles.test.integration.tests.ConsistencyLevelPriorityOrderingIT#should_override_mapping_on_class_by_runtime_value_on_batch_mode_for_normal_type,0,graphs/Achilles/2
67,618,info.archinnov.achilles.test.integration.tests.ConsistencyLevelPriorityOrderingIT#should_override_batch_level_by_runtime_value_for_slice_query,0,graphs/Achilles/2
68,693,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCompositePartitionKeyIT#should_remove_by_id,0,graphs/Achilles/2
69,760,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCompositePartitionKeyIT#should_iterate_with_default_params,0,graphs/Achilles/2
70,771,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCompositePartitionKeyIT#should_iterate_with_custom_params,0,graphs/Achilles/2
71,641,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCompositePartitionKeyIT#should_persist_and_get_proxy,0,graphs/Achilles/2
72,685,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCompositePartitionKeyIT#should_remove,0,graphs/Achilles/2
73,653,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCompositePartitionKeyIT#should_update_modifications,0,graphs/Achilles/2
74,774,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCompositePartitionKeyIT#should_remove_with_default_params,0,graphs/Achilles/2
75,753,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCompositePartitionKeyIT#should_query_with_getLast,0,graphs/Achilles/2
76,744,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCompositePartitionKeyIT#should_query_with_getFirst,0,graphs/Achilles/2
77,723,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCompositePartitionKeyIT#should_check_for_common_operation_on_found_clustered_entity,0,graphs/Achilles/2
78,702,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCompositePartitionKeyIT#should_refresh,0,graphs/Achilles/2
79,768,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCompositePartitionKeyIT#should_check_for_common_operation_on_found_clustered_entity_by_iterator,0,graphs/Achilles/2
80,728,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCompositePartitionKeyIT#should_query_with_custom_params,0,graphs/Achilles/2
81,739,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCompositePartitionKeyIT#should_query_with_consistency_level,0,graphs/Achilles/2
82,619,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCompositePartitionKeyIT#should_persist_and_find,0,graphs/Achilles/2
83,707,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCompositePartitionKeyIT#should_query_with_default_params,0,graphs/Achilles/2
84,570,info.archinnov.achilles.test.integration.tests.RemoveProxyIT#should_remove_proxy_from_entity,0,graphs/Achilles/2
85,672,info.archinnov.achilles.test.integration.tests.ValuelessClusteredEntityIT#should_remove_by_slice_query,0,graphs/Achilles/2
86,521,info.archinnov.achilles.test.integration.tests.ValuelessClusteredEntityIT#should_persist_with_ttl,0,graphs/Achilles/2
87,500,info.archinnov.achilles.test.integration.tests.ValuelessClusteredEntityIT#should_persist_and_find,0,graphs/Achilles/2
88,645,info.archinnov.achilles.test.integration.tests.ValuelessClusteredEntityIT#should_iterate_by_slice_query,0,graphs/Achilles/2
89,504,info.archinnov.achilles.test.integration.tests.ValuelessClusteredEntityIT#should_persist_and_get_proxy,0,graphs/Achilles/2
90,609,info.archinnov.achilles.test.integration.tests.ValuelessClusteredEntityIT#should_find_by_slice_query,0,graphs/Achilles/2
91,488,info.archinnov.achilles.test.integration.tests.SchemaUpdateIT#should_allow_dynamic_schema_update,0,graphs/Achilles/2
92,511,info.archinnov.achilles.test.integration.tests.SchemaUpdateIT#should_allow_dynamic_schema_update_for_cluster_counter,0,graphs/Achilles/2
93,556,info.archinnov.achilles.test.integration.tests.SchemaUpdateIT#should_fail_bootstrapping_if_schema_update_forbidden_for_entity,0,graphs/Achilles/2
94,370,info.archinnov.achilles.test.integration.tests.SerializationIT#should_serialized_proxified_entity_with_Jackson,0,graphs/Achilles/2
95,352,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCounterIT#should_persist_and_find,0,graphs/Achilles/2
96,477,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCounterIT#should_update_modifications,0,graphs/Achilles/2
97,610,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCounterIT#should_query_with_default_params,0,graphs/Achilles/2
98,525,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCounterIT#should_remove,0,graphs/Achilles/2
99,734,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCounterIT#should_remove_with_default_params,0,graphs/Achilles/2
100,449,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCounterIT#should_persist_and_get_proxy,0,graphs/Achilles/2
101,549,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCounterIT#should_refresh,0,graphs/Achilles/2
102,717,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithCounterIT#should_iterate_with_default_params,0,graphs/Achilles/2
103,69,info.archinnov.achilles.test.integration.AchillesInternalCQLResourceTest#should_create_resources_once,0,graphs/Achilles/2
104,29,info.archinnov.achilles.test.integration.AchillesInternalCQLResourceTest#should_bootstrap_embedded_server_and_entity_manager,0,graphs/Achilles/2
105,462,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithReverseClusteringIT#should_query_with_default_params,0,graphs/Achilles/2
106,588,info.archinnov.achilles.test.integration.tests.ClusteredEntityWithReverseClusteringIT#should_query_with_reverse_ordering,0,graphs/Achilles/2
107,662,info.archinnov.achilles.test.integration.tests.ValuelessEntityIT#should_persist_with_ttl,0,graphs/Achilles/2
108,632,info.archinnov.achilles.test.integration.tests.ValuelessEntityIT#should_persist_and_find,0,graphs/Achilles/2
109,639,info.archinnov.achilles.test.integration.tests.ValuelessEntityIT#should_persist_and_get_proxy,0,graphs/Achilles/2
110,363,info.archinnov.achilles.test.integration.utils.CassandraLogAsserterTest#should_fail_if_more_expected_consistencies_than_found,0,graphs/Achilles/2
111,343,info.archinnov.achilles.test.integration.utils.CassandraLogAsserterTest#should_fail_when_consistency_not_in_order,0,graphs/Achilles/2
112,432,info.archinnov.achilles.test.integration.utils.CassandraLogAsserterTest#should_find_serial_and_normal_consistency_levels,0,graphs/Achilles/2
113,312,info.archinnov.achilles.test.integration.utils.CassandraLogAsserterTest#should_check_consistencies_in_order,0,graphs/Achilles/2
114,523,info.archinnov.achilles.test.integration.utils.CassandraLogAsserterTest#should_fail_if_found_serial_but_not_normal_consistency_levels,0,graphs/Achilles/2
115,414,info.archinnov.achilles.test.integration.utils.CassandraLogAsserterTest#should_find_serial_consistency_level_only,0,graphs/Achilles/2
116,515,info.archinnov.achilles.test.integration.utils.CassandraLogAsserterTest#should_fail_if_serial_consistency_level_not_found_but_normal_consistencies_found,0,graphs/Achilles/2
117,390,info.archinnov.achilles.test.integration.utils.CassandraLogAsserterTest#should_succeed_if_more_found_consistencies_than_expected,0,graphs/Achilles/2
118,508,info.archinnov.achilles.test.integration.utils.CassandraLogAsserterTest#should_fail_if_serial_consistency_level_not_found_alone,0,graphs/Achilles/2
119,470,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_assign_new_value_to_set,0,graphs/Achilles/2
120,790,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_simple_property,0,graphs/Achilles/2
121,772,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_not_dirty_check_map_keyset_remove_all,0,graphs/Achilles/2
122,498,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_set_clear,0,graphs/Achilles/2
123,630,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_list_element_clear_then_append,0,graphs/Achilles/2
124,751,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_not_dirty_check_list_element_list_iterator_set,0,graphs/Achilles/2
125,532,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_set_retain_all,0,graphs/Achilles/2
126,512,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_set_remove,0,graphs/Achilles/2
127,611,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_list_element_clear,0,graphs/Achilles/2
128,776,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_not_dirty_check_map_keyset_retain_all,0,graphs/Achilles/2
129,557,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_not_dirty_check_set_on_iterator_remove,0,graphs/Achilles/2
130,733,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_list_element_set,0,graphs/Achilles/2
131,712,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_list_element_remove_element_only_once,0,graphs/Achilles/2
132,757,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_assign_new_value_to_map,0,graphs/Achilles/2
133,780,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_not_dirty_check_map_keyset_iterator_remove,0,graphs/Achilles/2
134,484,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_set_element_add,0,graphs/Achilles/2
135,583,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_list_element_add,0,graphs/Achilles/2
136,781,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_not_dirty_check_map_valueset_remove,0,graphs/Achilles/2
137,562,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_assign_new_value_to_list,0,graphs/Achilles/2
138,782,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_not_dirty_check_map_valueset_remove_all,0,graphs/Achilles/2
139,684,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_list_element_remove_at_index,0,graphs/Achilles/2
140,761,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_map_put_element,0,graphs/Achilles/2
141,783,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_map_valueset_retain_all,0,graphs/Achilles/2
142,740,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_not_dirty_check_list_element_iterator_remove,0,graphs/Achilles/2
143,763,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_map_remove_key,0,graphs/Achilles/2
144,785,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_not_dirty_check_map_valueset_iterator_remove,0,graphs/Achilles/2
145,665,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_list_element_prepend,0,graphs/Achilles/2
146,720,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_list_element_remove_all,0,graphs/Achilles/2
147,787,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_not_dirty_check_map_entrySet_remove_entry,0,graphs/Achilles/2
148,766,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_map_put_all,0,graphs/Achilles/2
149,788,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_not_dirty_check_map_entrySet_remove_all_entry,0,graphs/Achilles/2
150,745,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_not_dirty_check_list_element_list_iterator_remove,0,graphs/Achilles/2
151,725,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_list_element_retain_all,0,graphs/Achilles/2
152,769,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_not_dirty_check_map_keyset_remove,0,graphs/Achilles/2
153,608,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_dirty_check_list_element_add_at_index,0,graphs/Achilles/2
154,729,info.archinnov.achilles.test.integration.tests.DirtyCheckIT#should_not_dirty_check_list_element_sub_list_remove,0,graphs/Achilles/2
155,597,info.archinnov.achilles.test.integration.tests.SecondaryIndexIT#should_find_entities_for_indexed_enum_query,0,graphs/Achilles/2
156,566,info.archinnov.achilles.test.integration.tests.SecondaryIndexIT#should_return_entities_for_indexed_query,1,graphs/Achilles/2
157,644,info.archinnov.achilles.test.integration.tests.SecondaryIndexIT#should_throw_clustered_exception_for_indexed_query,0,graphs/Achilles/2
158,648,info.archinnov.achilles.test.integration.tests.SecondaryIndexIT#should_throw_empty_condition_exception_for_indexed_query,0,graphs/Achilles/2
159,495,info.archinnov.achilles.test.integration.tests.ExtendedDirtyCheckIT#should_add_elements_to_list_with_timestamp,0,graphs/Achilles/2
160,540,info.archinnov.achilles.test.integration.tests.ExtendedDirtyCheckIT#should_add_elements_to_map_with_ttl,0,graphs/Achilles/2
161,563,info.archinnov.achilles.test.integration.tests.ExtendedDirtyCheckIT#should_add_elements_to_map_with_timestamp,0,graphs/Achilles/2
162,514,info.archinnov.achilles.test.integration.tests.ExtendedDirtyCheckIT#should_add_elements_to_set_with_timestamp,0,graphs/Achilles/2
163,505,info.archinnov.achilles.test.integration.tests.ExtendedDirtyCheckIT#should_add_elements_to_set_with_ttl,0,graphs/Achilles/2
164,472,info.archinnov.achilles.test.integration.tests.ExtendedDirtyCheckIT#should_add_elements_to_list_with_ttl,0,graphs/Achilles/2
165,493,info.archinnov.achilles.test.integration.tests.EntityLessIT#should_bootstrap_achilles_without_entity_package_for_native_query,0,graphs/Achilles/2
166,454,info.archinnov.achilles.test.integration.tests.EntityWithCompositePartitionKeyIT#should_persist,0,graphs/Achilles/2
167,476,info.archinnov.achilles.test.integration.tests.EntityWithCompositePartitionKeyIT#should_find,0,graphs/Achilles/2
168,499,info.archinnov.achilles.test.integration.tests.EntityWithCompositePartitionKeyIT#should_persist_and_get_proxy,0,graphs/Achilles/2
169,565,info.archinnov.achilles.test.integration.tests.EntityWithCompositePartitionKeyIT#should_remove_by_id,0,graphs/Achilles/2
170,601,info.archinnov.achilles.test.integration.tests.EntityWithCompositePartitionKeyIT#should_refresh,0,graphs/Achilles/2
171,526,info.archinnov.achilles.test.integration.tests.EntityWithCompositePartitionKeyIT#should_update_modifications,0,graphs/Achilles/2
172,559,info.archinnov.achilles.test.integration.tests.EntityWithCompositePartitionKeyIT#should_remove,0,graphs/Achilles/2
173,690,info.archinnov.achilles.test.integration.tests.QueryIT#should_return_count_for_native_query,0,graphs/Achilles/2
174,681,info.archinnov.achilles.test.integration.tests.QueryIT#should_return_rows_for_native_query_with_bound_values,0,graphs/Achilles/2
175,792,info.archinnov.achilles.test.integration.tests.QueryIT#should_return_entities_for_typed_query_with_simple_select,0,graphs/Achilles/2
176,621,info.archinnov.achilles.test.integration.tests.QueryIT#should_return_rows_for_native_query,0,graphs/Achilles/2
177,797,info.archinnov.achilles.test.integration.tests.QueryIT#should_return_entity_for_typed_query_with_bound_values,0,graphs/Achilles/2
178,699,info.archinnov.achilles.test.integration.tests.QueryIT#should_return_ttl_and_timestamp_for_native_query,0,graphs/Achilles/2
179,798,info.archinnov.achilles.test.integration.tests.QueryIT#should_return_raw_entities_for_raw_typed_query_with_select_star,0,graphs/Achilles/2
180,799,info.archinnov.achilles.test.integration.tests.QueryIT#should_return_raw_entities_for_raw_typed_query_with_simple_select,0,graphs/Achilles/2
181,800,info.archinnov.achilles.test.integration.tests.QueryIT#should_return_raw_entity_for_raw_typed_query_with_bound_values,0,graphs/Achilles/2
182,801,info.archinnov.achilles.test.integration.tests.QueryIT#should_return_first_entity_for_typed_query_with_simple_select,0,graphs/Achilles/2
183,736,info.archinnov.achilles.test.integration.tests.QueryIT#should_return_entities_for_typed_query_with_select_star,0,graphs/Achilles/2
184,802,info.archinnov.achilles.test.integration.tests.QueryIT#should_return_first_clustered_entity_for_typed_query_with_select_star,0,graphs/Achilles/2
185,803,info.archinnov.achilles.test.integration.tests.QueryIT#should_return_first_raw_entity_for_raw_typed_query_with_simple_select,0,graphs/Achilles/2
186,705,info.archinnov.achilles.test.integration.tests.QueryIT#should_return_cql_functions_for_native_query,0,graphs/Achilles/2
187,804,info.archinnov.achilles.test.integration.tests.QueryIT#should_return_first_raw_clustered_entity_for_raw_query_with_simple_select,0,graphs/Achilles/2
188,805,info.archinnov.achilles.test.integration.tests.QueryIT#should_ignore_null_varargs_for_bounded_values,0,graphs/Achilles/2
189,806,info.archinnov.achilles.test.integration.tests.QueryIT#should_apply_null_heap_byte_buffer,0,graphs/Achilles/2
190,807,info.archinnov.achilles.test.integration.tests.QueryIT#should_apply_null_bounded_values,0,graphs/Achilles/2
191,614,info.archinnov.achilles.test.integration.tests.CacheSizeIT#should_re_prepare_statements_when_cache_size_exceeded,0,graphs/Achilles/2
192,451,info.archinnov.achilles.test.integration.tests.InitializeIT#should_initialize_lazy_properties,0,graphs/Achilles/2
193,502,info.archinnov.achilles.test.integration.tests.InitializeIT#should_initialize_counter_value,0,graphs/Achilles/2
194,520,info.archinnov.achilles.test.integration.tests.InsertStrategyIT#should_insert_not_null_field_overriding_global_config,0,graphs/Achilles/2
195,539,info.archinnov.achilles.test.integration.tests.InsertStrategyIT#should_insert_only_fields_that_are_not_null,0,graphs/Achilles/2
196,509,info.archinnov.achilles.test.integration.tests.InsertStrategyIT#should_insert_all_fields,0,graphs/Achilles/2
197,561,info.archinnov.achilles.test.integration.tests.EventInterceptorIT#should_apply_persist_interceptors,0,graphs/Achilles/2
